place_lat,place_lon,place_category,time_of_day,day_of_week,human_activity
40.00481714139265,116.32245624281668,leisure,19401,1,still
40.01073522895303,116.29686202190425,leisure,29353,1,walk
40.006750449712506,116.29680145768349,leisure,36273,1,bus
39.98016607559587,116.32399053821108,restaurants,62293,1,bus
40.00434748957922,116.31211669279848,sport,76781,4,bus
39.99704773250174,116.32222466152446,restaurants,61233,1,car
40.07866310706134,116.58822041479938,restaurants,36405,6,still
39.99750894095778,116.27021723823653,leisure,56006,3,bus
39.98956923962303,116.272298864017,leisure,34714,5,bike
39.90928913761032,116.40516062754364,leisure,72559,5,bike
39.91402195126257,116.403157546516,leisure,73524,5,car
39.89824271687493,116.388151295743,restaurants,44502,0,walk
39.9419102121144,116.37496500054138,restaurants,56438,6,walk
39.938944946683804,116.38358510102452,leisure,58238,6,bus
39.93757315030032,116.38825309165168,leisure,50427,6,still
39.93242569902992,116.39017972298036,leisure,71364,5,bus
39.94446475666767,116.37551311342524,leisure,65438,6,walk
39.93210533957406,116.38491004896852,leisure,46167,5,car
39.99849173350082,116.32169783552366,leisure,49473,5,still
39.99492597797345,116.32092738442978,leisure,49931,3,bike
39.90770947348501,116.4723294313922,sport,75328,5,car
39.9517112743745,116.8016428071561,restaurants,76972,5,car
39.94699079224053,116.78315726436225,restaurants,55798,5,car
39.8630795632069,116.45665460072412,sport,37296,6,still
39.86380393803351,116.45427891644395,restaurants,38220,6,still
39.94560713967815,116.7949152377072,leisure,43480,6,car
39.90677455506822,116.41504374512672,restaurants,36281,5,bus
39.90253871167928,116.40972260503848,leisure,40163,5,still
39.90164268819777,116.40795466019846,leisure,41140,5,bike
39.94113149114521,116.3471065697308,restaurants,39934,5,bike
39.99496087429271,116.31830096557756,restaurants,48845,6,bus
39.94839091055503,116.7987063221134,sport,73969,5,walk
39.9391765637945,116.31595886649394,restaurants,49237,3,bike
39.93954886928156,116.31052858165044,restaurants,39113,6,still
39.93671581409328,116.32283218198408,restaurants,33556,2,walk
39.95088966155695,116.3286771550051,leisure,64577,3,still
40.00526817890027,116.30339001609713,restaurants,58169,4,car
40.01150137893404,116.3015951252044,leisure,59474,4,walk
39.92250919048968,116.36013396375374,restaurants,61177,5,still
39.92236413725399,116.35253901688448,restaurants,62072,5,bus
39.908431063993866,116.36822156292313,leisure,65739,2,bike
31.168712409946234,121.39412068682796,leisure,65324,4,walk
31.17139794226256,121.3931038364106,leisure,66834,4,bus
31.194918307991323,121.43642306715611,leisure,69911,4,still
31.196622243437123,121.4328311640126,leisure,73716,4,bike
31.22103364088966,121.41560684201632,restaurants,77820,4,bus
31.224985915069976,121.42211790394312,restaurants,83925,4,bike
31.223264372717228,121.4222963456096,restaurants,52643,5,walk
31.224092311278195,121.42070798766916,restaurants,57093,5,bus
31.23083814678992,121.46992193126052,leisure,39071,5,still
31.23682316930368,121.47153807020784,restaurants,41748,5,bike
31.237392156572703,121.47551743600388,leisure,43256,5,walk
31.23898873941064,121.47907850530449,restaurants,46816,5,car
39.88312531769558,116.45335865937462,leisure,42047,4,bike
39.87925609054656,116.42860250028782,leisure,42703,3,still
39.87310822297337,116.43301601967508,restaurants,34208,3,car
39.86466881513416,116.42963725044837,leisure,69769,2,car
39.86458234565218,116.42698582536232,leisure,73917,2,still
39.87483236175549,116.43539246833856,leisure,35893,3,bus
39.87441273395594,116.43713654525862,leisure,36763,3,bike
39.878904461790015,116.43660288255882,leisure,40968,3,bus
39.96060371670033,116.32903290344557,restaurants,59403,3,bike
39.93695245592191,116.33390053792304,leisure,39376,5,bus
39.94213933546512,116.33300713895348,leisure,64218,3,car
39.90242041234541,116.42123382874244,leisure,80244,0,still
40.01255846428572,116.47611277466449,restaurants,73420,3,still
40.00942854459135,116.47218666045671,restaurants,73870,3,still
40.129240440015,116.48559934231332,leisure,78228,3,still
39.99962656569151,116.33312904237778,leisure,36193,0,car
39.91134505055555,116.42809953166666,sport,55318,3,bus
40.09313325279405,116.08223118326862,leisure,46377,5,bus
40.09964573372153,116.0739587706004,leisure,53656,5,bus
40.09941871669398,116.07803107198497,leisure,54734,5,bus
40.10064452926588,116.08318968948412,leisure,56339,5,car
40.102581033456126,116.0837872067719,leisure,43772,0,bus
40.1049505577591,116.08595332175072,leisure,60144,5,bike
40.10351046498203,116.09215971319696,restaurants,39353,6,still
40.124366886370574,116.1859376909595,restaurants,53654,6,still
40.069829081652685,116.31341148506114,leisure,68418,3,bus
39.89471208809332,116.31471119828764,restaurants,75685,1,bus
39.96585266105505,116.31745050020032,leisure,54074,6,bike
31.29646663281832,121.54678255381138,restaurants,72112,6,bike
31.294010818850577,121.54584710390805,leisure,65767,4,bus
31.302196725308644,121.50939721604938,restaurants,68122,4,bike
31.30366201364692,121.50910891898955,sport,74684,4,walk
31.296037130000546,121.54472335864676,leisure,73057,6,bus
31.28837543323188,121.54962719256554,leisure,76620,5,walk
31.113726059531285,121.05107697945088,restaurants,44182,6,bike
31.112462088537704,121.05064398413302,restaurants,51577,6,car
31.1109789402368,121.0497563628299,restaurants,48177,6,bus
31.11538212349495,121.04856078543898,restaurants,55692,6,bus
